週,企業ID,業界,区分,フェーズ,現金残高,時価総額,売上,支出,収支,現状シェア,シェア目標,生産目標,生産数,生産キャパ,販売目標,販売数,販売キャパ,事業部施設要求,事業部施設キャパ,人事要求値,人事キャパ,共通施設要求,共通施設キャパ,生産人員,営業人員,開発人員,人事人員,広報人員,経理人員,店舗人員
4,36,pc,npc_retail,STABLE,2380120395,1132358400,44235383,107758121,-63522738,0.13853763453807258,0.27493353212660715,0,0,0.0,1445,111,587.8852171671933,18,244,933,1075.7328121605613,27824,162,0,14,0,3,2,2,14
4,37,pc,npc_retail,STABLE,2421237527,1129593600,42185977,156767918,-114581941,0.13457505890863536,0.27493353212660715,0,0,0.0,1445,125,569.7222770489899,18,244,960,1049.0603188998598,27824,62,0,15,0,3,2,2,14
5,16,automotive,npc_maker,GROWTH,2564784376,1194600960,78927858,107043052,-28115194,0.1922675026123302,0.24994775339602926,433,23,1417.6590670642033,0,23,0.0,1603,244,1013,1161.9137885215487,1626,162,15,14,2,3,2,2,0
5,17,automotive,npc_maker,GROWTH,2586553865,1195119360,61897572,45427674,16469898,0.17136886102403343,0.22277951933124346,417,19,1242.1144210241625,0,18,0.0,1544,244,746,1095.6938527052703,1576,162,13,6,2,3,2,2,0
5,18,automotive,npc_maker,GROWTH,2608045426,1195119360,47536454,94403055,-46866601,0.17136886102403343,0.22277951933124346,414,35,1595.1128105095324,0,14,0.0,1533,144,906,1197.268119140965,1566,162,23,2,2,3,2,2,0
5,19,automotive,npc_maker,GROWTH,2618242499,1194912000,43270956,82701523,-39430567,0.1755485893416928,0.22821316614420065,411,26,1456.4189713209728,0,12,0.0,1522,144,693,1156.6720215109194,1557,162,15,2,2,3,2,2,0
5,20,automotive,npc_maker,GROWTH,2610193175,1194289920,51025996,83587673,-32561677,0.17136886102403343,0.22277951933124346,415,26,1525.3288522151686,0,14,0.0,1537,144,720,1194.6789563694588,1569,162,16,2,2,3,2,2,0
5,21,automotive,npc_maker,GROWTH,2612390670,1195534080,51145155,42236909,8908246,0.1671891327063741,0.21734587251828633,408,19,1322.7584419767097,0,15,0.0,1511,144,613,1150.585562596635,1548,162,12,2,2,3,2,2,0
5,22,automotive,npc_maker,GROWTH,2561768768,1194289920,91942656,109252282,-17309626,0.1839080459770115,0.23908045977011494,419,26,1504.5497265652225,0,26,0.0,1551,244,1146,1178.190563190715,1582,162,19,15,2,3,2,2,0
5,23,automotive,npc_maker,GROWTH,2604352662,1194600960,54580425,79984596,-25404171,0.1755485893416928,0.22821316614420065,403,25,1353.8257596762444,0,15,0.0,1492,144,720,1104.2270744346356,1532,162,16,2,2,3,2,2,0
5,24,automotive,npc_retail,GROWTH,2558525291,1177286400,64908968,128787617,-63878649,0.03107156673114119,0.382836071434092,0,0,0.0,395,39,39.798985519121835,24,44,1200,1318.410953401865,7581,362,0,35,0,4,2,2,2
5,25,automotive,npc_retail,GROWTH,2614764838,1177493760,105470940,168136317,-62665377,0.03107156673114119,0.382836071434092,0,0,0.0,395,40,43.70335865401729,24,44,1013,1200.3910780321085,7573,262,0,29,0,3,2,2,2
5,26,automotive,npc_retail,GROWTH,2621672636,1176145920,114374223,171211265,-56837042,0.03107156673114119,0.382836071434092,0,0,0.0,395,44,42.54181746580254,24,44,906,1168.4872673859297,7586,262,0,25,0,3,2,2,2
5,27,pc,npc_maker,GROWTH,2364656557,1224564480,62924034,23796912,39127122,0.14545454545454545,0.1890909090909091,1640,81,796.8003079423748,0,213,0.0,328,44,533,1177.091364005781,4817,162,2,9,2,3,2,2,0
5,28,pc,npc_maker,GROWTH,2360268858,1224979200,59984672,25461526,34523146,0.13884297520661157,0.18049586776859505,1416,80,788.3096827197631,0,209,0.0,283,44,560,1164.5483949269228,4197,162,2,10,2,3,2,2,0
5,29,pc,npc_maker,GROWTH,2364227038,1224668160,54657837,25781528,28876309,0.13884297520661157,0.18049586776859505,1595,80,786.349547654652,0,181,0.0,319,44,533,1161.6527408534632,4693,162,2,9,2,3,2,2,0
5,30,pc,npc_maker,GROWTH,2366828315,1224564480,64996020,23723067,41272953,0.13884297520661157,0.18049586776859505,1533,81,808.0763612431955,0,212,0.0,306,44,480,1193.749170018357,4521,162,2,7,2,3,2,2,0
5,31,pc,npc_maker,GROWTH,2357834490,1224979200,55166148,77086139,-21919991,0.14214876033057852,0.1847933884297521,1545,80,810.6887003115633,0,191,0.0,309,44,640,1197.6083072784456,4554,162,2,13,2,3,2,2,0
5,32,pc,npc_maker,GROWTH,2356020933,1225186560,59065281,75769217,-16703936,0.14214876033057852,0.1847933884297521,1542,80,810.2273845648838,0,209,0.0,308,44,613,1196.9268181072148,4546,162,2,12,2,3,2,2,0
5,33,pc,npc_maker,GROWTH,2362025591,1224771840,54423804,76039986,-21616182,0.15206611570247933,0.19768595041322312,1712,80,815.1921540307264,0,181,0.0,342,44,613,1204.2611366363005,5017,162,2,12,2,3,2,2,0
5,34,pc,npc_maker,GROWTH,2359377699,1224979200,60170144,78230754,-18060610,0.13553719008264462,0.176198347107438,1462,80,804.4189429351716,0,202,0.0,292,44,666,1188.3461656996853,4324,162,2,14,2,3,2,2,0
5,35,pc,npc_retail,STABLE,2264095725,1212537600,303982989,285007469,18975520,0.2150925063698177,0.25811100764378125,0,0,0.0,1393,292,905.9442141440219,17,244,986,1201.979685019992,26822,162,0,10,0,3,2,2,20
5,36,pc,npc_retail,STABLE,2197591638,1222905600,290124275,272108064,18016211,0.14932717488380912,0.25522404762272805,0,0,0.0,1377,696,658.9117290272451,17,244,986,1060.3126450312543,26522,262,0,14,0,3,2,2,16
5,37,pc,npc_retail,STABLE,2185593710,1217203200,209032483,203144157,5888326,0.15377390573057179,0.25522404762272805,0,0,0.0,1377,620,706.3464437011343,17,244,1040,1095.5900711875834,26522,262,0,15,0,3,2,2,17
6,16,automotive,npc_maker,GROWTH,2408429964,1286793600,74630292,118384584,-43754292,0.16819012797074953,0.2186471663619744,374,40,1973.610963889794,0,22,0.0,1385,244,1360,1319.1096509282163,1442,262,27,14,2,4,2,2,0
6,17,automotive,npc_maker,GROWTH,2473696070,1286171600,65997811,64196900,1800911,0.14990859232175502,0.19488117001828154,360,30,1727.0733989552516,0,19,0.0,1333,244,906,1155.691536474044,1398,162,19,6,2,3,2,2,0
6,18,automotive,npc_maker,GROWTH,2430776554,1284946260,132008001,69969206,62038795,0.14990859232175502,0.19488117001828154,338,35,2041.475496201002,0,36,0.0,1251,244,986,1195.144149407516,1329,162,23,5,2,3,2,2,0
6,19,automotive,npc_maker,GROWTH,2447899808,1284112780,92425550,57753828,34671722,0.15356489945155394,0.19963436928702014,343,26,1642.1983213354881,0,25,0.0,1270,244,880,1137.7826988747458,1345,162,15,9,2,3,2,2,0
6,20,automotive,npc_maker,GROWTH,2447121840,1283826660,97875830,110796899,-12921069,0.14990859232175502,0.19488117001828154,348,26,1703.8660147076519,0,26,0.0,1288,244,986,1179.6082101307309,1360,162,16,12,2,3,2,2,0
6,21,automotive,npc_maker,GROWTH,2490679383,1285195060,72999434,46526138,26473296,0.14625228519195613,0.19012797074954296,349,19,1448.4645726159183,0,20,0.0,1292,144,773,1150.7982524147549,1364,162,12,8,2,3,2,2,0
6,22,automotive,npc_maker,GROWTH,2416370704,1286594560,91252720,116323045,-25070325,0.16087751371115175,0.20914076782449728,362,38,1779.7329407450957,0,26,0.0,1340,244,1386,1051.953102393683,1404,262,28,15,2,3,2,2,0
6,23,automotive,npc_maker,GROWTH,2448730858,1284535740,98642750,57886131,40756619,0.15356489945155394,0.19963436928702014,339,25,1649.9130166003927,0,25,0.0,1255,244,906,1198.754097049399,1332,162,16,9,2,3,2,2,0
6,24,automotive,npc_retail,STABLE,2366720378,1266379560,150161242,158293819,-8132577,0.03245206861755801,0.265533156743075,0,0,0.0,263,43,43.050667455715164,16,44,1280,1422.1420818390236,5050,462,0,38,0,4,2,2,2
6,25,automotive,npc_retail,STABLE,2421361220,1263412620,137635230,171457701,-33822471,0.03245206861755801,0.265533156743075,0,0,0.0,263,40,40.839534826242875,16,44,1173,1118.579783534628,4998,362,0,35,0,3,2,2,2
