週,企業ID,企業名,フェーズ,売上高,費用計,収支,現金残高,借入残高,在庫数,B2B販売数,B2C販売数,生産指示数,生産完了数,開発指示数,開発完了数,採用数,施設規模,人件費,施設費
17,9,Future Motors,GROWTH,72213951,67469580,4744371,2775380572,0,116,23,0,39,39,0,0,3,4870,48713813,75880000
17,10,モータースショップ,GROWTH,646819230,389204997,257614233,2254618379,0,525,0,193,0,0,0,0,3,1080,25993827,31635000
17,11,ファミリーアベニュー,GROWTH,623996494,235624726,388371768,2310356037,0,451,0,183,0,0,0,0,0,1085,17292292,28340000
17,12,カーショップディーラー,GROWTH,677524289,324307230,353217059,2307394142,0,549,0,204,0,0,0,0,2,1080,14646143,30340000
18,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
18,2,Galaxy Motors,GROWTH,62793240,80178448,-17385208,1624935244,0,16,20,0,5,5,0,0,2,1740,14978448,27200000
18,3,Jupiter Group,GROWTH,61871544,78559987,-16688443,1744061580,0,14,18,0,6,6,0,0,2,1210,17599987,18760000
18,4,Prime Cars,GROWTH,453402648,88904379,364498269,3565289502,0,61,153,0,44,44,0,0,1,7340,49206114,114720000
18,5,Eco Automotive,GROWTH,0,76713836,-76713836,1290841948,0,52,0,0,14,14,0,0,2,1310,12393836,20520000
18,6,Galaxy Mobility,GROWTH,0,115941522,-115941522,1697115711,0,57,0,0,15,15,0,0,2,2450,23741522,38200000
18,7,Omega Ltd.,STABLE,103618725,101818451,1800274,1806250423,0,85,35,0,16,16,0,0,0,2010,14978451,31640000
18,8,Horizon Corporation,GROWTH,0,37777710,-37777710,1868463244,0,47,0,0,19,19,0,0,0,3780,19999985,58880000
18,9,Future Motors,GROWTH,311657800,65867865,245789935,2743632451,0,46,100,0,30,30,0,0,0,4870,42756893,75880000
18,10,モータースショップ,GROWTH,936411701,115498077,820913624,2850070167,0,290,0,273,0,0,0,0,5,1080,26929211,31635000
18,11,ファミリーアベニュー,GROWTH,684142452,617228390,66914062,2146234497,0,460,0,202,0,0,0,0,2,1085,17809215,28340000
18,12,カーショップディーラー,GROWTH,510413733,157501711,352912022,2429566750,0,472,0,154,0,0,0,0,3,1080,14449221,30340000
19,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
19,2,Galaxy Motors,GROWTH,0,81212295,-81212295,1543722949,0,23,0,0,7,7,0,0,1,1740,13612295,27200000
19,3,Jupiter Group,GROWTH,0,79393834,-79393834,1664667746,0,22,0,0,8,8,0,0,0,1210,17033834,18760000
19,4,Prime Cars,GROWTH,0,66080107,-66080107,3142680445,0,94,0,0,33,33,0,0,2,7340,40024582,114720000
19,5,Eco Automotive,GROWTH,111788932,73741530,38047402,1328889350,0,28,38,0,14,14,0,0,0,1310,11421530,20520000
19,6,Galaxy Mobility,GROWTH,120165948,102966140,17199808,1714315519,0,25,42,0,10,10,0,0,1,2450,19766140,38200000
19,7,Omega Ltd.,GROWTH,192373350,95621530,96751820,1903002243,0,33,65,0,13,13,0,0,1,2010,12381530,31640000
19,8,Horizon Corporation,GROWTH,82827808,129726140,-46898332,1821564912,0,33,28,0,14,14,0,0,1,3780,17046140,58880000
19,9,Future Motors,GROWTH,0,59172196,-59172196,2410097011,0,72,0,0,26,26,0,0,5,4870,39273818,75880000
19,10,モータースショップ,GROWTH,944589804,229588007,715001797,3280064948,0,119,0,279,0,0,0,0,3,1080,25673827,31635000
19,11,ファミリーアベニュー,GROWTH,466334932,-63242507,529577439,2461188488,0,322,0,138,0,0,0,0,0,1085,15729217,28340000
19,12,カーショップディーラー,GROWTH,610005045,164951925,445053120,2631663196,0,353,0,184,0,0,0,0,3,1080,15716912,30340000
20,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
20,2,Galaxy Motors,GROWTH,49037232,80461528,-31424296,1512298653,0,17,16,0,10,10,0,0,0,1740,11261528,27200000
20,3,Jupiter Group,STABLE,51685886,76996912,-25311026,1639356720,0,17,14,0,9,9,0,0,0,1210,14436912,18760000
20,4,Prime Cars,GROWTH,181746084,77512101,104233983,2932646384,0,60,61,0,27,27,0,0,5,7340,37526123,114720000
20,5,Eco Automotive,STABLE,0,64895378,-64895378,1263993972,0,36,0,0,8,8,0,0,0,1310,8775378,20520000
20,6,Galaxy Mobility,GROWTH,0,100286143,-100286143,1614029376,0,35,0,0,10,10,0,0,1,2450,16086143,38200000
20,7,Omega Ltd.,GROWTH,0,95972301,-95972301,1807029942,0,46,0,0,13,13,0,0,1,2010,10732301,31640000
20,8,Horizon Corporation,GROWTH,0,122061527,-122061527,1699503385,0,44,0,0,11,11,0,0,1,3780,13981527,58880000
20,9,Future Motors,GROWTH,145146146,64033586,81112560,2250199871,0,47,46,0,21,21,0,0,2,4870,35458436,75880000
20,10,モータースショップ,GROWTH,868554301,319247083,549307218,3501365672,0,0,0,256,0,0,0,0,1,1080,23999982,31635000
20,11,ファミリーアベニュー,GROWTH,387570764,-79494822,467065586,2682135226,0,204,0,118,0,0,0,0,0,1085,15224602,28340000
20,12,カーショップディーラー,GROWTH,750595582,-85981631,836577213,3205074091,0,127,0,226,0,0,0,0,2,1080,15261528,30340000
21,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
21,2,Galaxy Motors,STABLE,0,74283067,-74283067,1438015586,0,23,0,0,6,6,0,0,2,1740,9883067,27200000
21,3,Jupiter Group,STABLE,0,73713836,-73713836,1565642884,0,25,0,0,8,8,0,0,0,1210,13353836,18760000
21,4,Prime Cars,GROWTH,0,81681500,-81681500,2557700246,0,84,0,0,24,24,0,0,5,7340,34793819,114720000
21,5,Eco Automotive,GROWTH,81634308,59556917,22077391,1286071363,0,13,28,0,5,5,0,0,1,1310,8036917,20520000
21,6,Galaxy Mobility,STABLE,72294300,93073836,-20779536,1593249840,0,17,25,0,7,7,0,0,0,2450,14473836,38200000
21,7,Omega Ltd.,GROWTH,97473684,90409224,7064460,1814094402,0,23,33,0,10,10,0,0,3,2010,10769224,31640000
21,8,Horizon Corporation,GROWTH,99269808,118569220,-19299412,1680203973,0,22,33,0,11,11,0,0,0,3780,13489220,58880000
21,9,Future Motors,GROWTH,0,57656139,-57656139,1967523746,0,62,0,0,15,15,0,0,1,4870,31286132,75880000
21,10,モータースショップ,GROWTH,394012790,229306493,164706297,3315935403,0,0,0,119,0,0,0,0,0,1080,22067676,31635000
21,11,ファミリーアベニュー,GROWTH,670037592,-40628313,710665905,3124587609,0,0,0,204,0,0,0,0,3,1085,15138448,28340000
21,12,カーショップディーラー,GROWTH,418285078,-114652176,532937254,3417503937,0,0,0,127,0,0,0,0,1,1080,15261528,30340000
22,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
22,2,Galaxy Motors,STABLE,53740128,74430761,-20690633,1417324953,0,15,17,0,9,9,0,0,0,1740,8430761,27200000
22,3,Jupiter Group,STABLE,62863739,69969221,-7105482,1558537402,0,14,17,0,6,6,0,0,3,1210,13009221,18760000
22,4,Prime Cars,GROWTH,179064900,90053423,89011477,2390941699,0,42,60,0,18,18,0,0,5,7340,31618435,114720000
22,5,Eco Automotive,GROWTH,0,61956917,-61956917,1224114446,0,20,0,0,7,7,0,0,0,1310,8036917,20520000
22,6,Galaxy Mobility,STABLE,0,89224606,-89224606,1504025234,0,23,0,0,6,6,0,0,0,2450,12824606,38200000
22,7,Omega Ltd.,GROWTH,0,85596916,-85596916,1728497486,0,29,0,0,6,6,0,0,3,2010,10756916,31640000
22,8,Horizon Corporation,STABLE,0,114470760,-114470760,1565733213,0,31,0,0,9,9,0,0,1,3780,11790760,58880000
22,9,Future Motors,GROWTH,147175471,155464597,-8289126,1959234620,0,26,47,0,11,11,0,0,2,4870,27384597,75880000
22,10,モータースショップ,GROWTH,489454368,328325531,161128837,3145470700,0,0,0,141,0,0,0,0,1,1080,19643063,31635000
22,11,ファミリーアベニュー,GROWTH,0,-112640162,112640162,2924769011,0,0,0,0,0,0,0,0,2,1085,15249218,28340000
22,12,カーショップディーラー,GROWTH,0,-127181359,127181359,3202934904,0,0,0,0,0,0,0,0,0,1080,13353837,30340000
23,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
23,2,Galaxy Motors,STABLE,0,73729223,-73729223,1343595730,0,24,0,0,9,9,0,0,1,1740,7729223,27200000
23,3,Jupiter Group,STABLE,0,74972301,-74972301,1483565101,0,27,0,0,13,13,0,0,0,1210,9612301,18760000
23,4,Prime Cars,GROWTH,0,87852891,-87852891,2063994640,0,57,0,0,15,15,0,0,1,7340,27679975,114720000
23,5,Eco Automotive,GROWTH,40436396,59123070,-18686674,1205427772,0,12,13,0,5,5,0,0,2,1310,8603070,20520000
23,6,Galaxy Mobility,STABLE,49245600,84046145,-34800545,1469224689,0,9,17,0,3,3,0,0,1,2450,12246145,38200000
23,7,Omega Ltd.,GROWTH,67765452,89590763,-21825311,1706672175,0,18,23,0,12,12,0,0,2,2010,9550763,31640000
23,8,Horizon Corporation,STABLE,69652528,112938452,-43285924,1522447289,0,18,22,0,9,9,0,0,1,3780,12258452,58880000
23,9,Future Motors,STABLE,0,142430754,-142430754,1816803866,0,31,0,0,5,5,0,0,1,4870,21550754,75880000
23,10,モータースショップ,GROWTH,254651939,171879888,82772051,2913695681,0,0,0,75,0,0,0,0,4,1080,20418447,31635000
23,11,ファミリーアベニュー,GROWTH,0,-104470769,104470769,2736762880,0,0,0,0,0,0,0,0,0,1085,13427681,28340000
23,12,カーショップディーラー,GROWTH,0,-64065217,64065217,2946706631,0,0,0,0,0,0,0,0,5,1080,15741528,30340000
24,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
24,2,Galaxy Motors,STABLE,50522940,72929223,-22406283,1321189447,0,19,15,0,10,10,0,0,0,1740,7729223,27200000
24,3,Jupiter Group,STABLE,48954976,69476917,-20521941,1463043160,0,24,14,0,11,11,0,0,0,1210,8516917,18760000
24,4,Prime Cars,GROWTH,126651210,89597170,37054040,1894649216,0,26,42,0,11,11,0,0,5,7340,23876902,114720000
24,5,Eco Automotive,STABLE,0,62723070,-62723070,1142704702,0,20,0,0,8,8,0,0,0,1310,8603070,20520000
